title,description,url,published_date,source,country,language
Cyberabad records first property attachment under BNSS in multi-crore fraud case,The case pertains to an employee of a private company who in collusion with other accused manipulated invoices and freight charges to siphon off large sums of money,https://www.thehindu.com/news/cities/Hyderabad/cyberabad-records-first-property-attachment-under-bnss-in-multi-crore-fraud-case/article69819813.ece,2025-07-17T10:37:20,The Hindu,India,en
Court orders to file case against P.C. George over hate speech,Mr. George alleged that those belonging to a particular community were nurturing a generation that believed that others had no right to live,https://www.thehindu.com/news/national/kerala/court-orders-to-file-case-against-pc-george-over-hate-speech/article69820091.ece,2025-07-17T10:35:34,The Hindu,India,en
"Odisha bandh Normal life partially hit as Congress, other parties observe bandh to condemn Balasore student death","The Home Department has directed all district collectors and SPs to remain on high alert in view of the road blockades, picketings, agitations, and also cautioned them against violence during the 12-hour bandh.",https://www.thehindu.com/news/national/odisha/odisha-college-student-death-opposition-congress-observe-bandh-in-state-updates-july-17/article69821865.ece,2025-07-17T10:35:26,The Hindu,India,en
Fire mishap at Durodine Industries in Hyderabad no casualties or injuries reported,An investigation is under way to determine the cause of the fire and assess the full extent of the damage,https://www.thehindu.com/news/national/telangana/fire-mishap-at-durodine-industries-in-hyderabad-no-casualties-or-injuries-reported/article69821702.ece,2025-07-17T10:32:45,The Hindu,India,en
Congress demands scraping of digital attendance system for MNREGA workers,Recently the government in a direction to the States flagged the various ways National Mobile Monitoring System NMMS used to digitally capture attendance of workers is being manipulated,https://www.thehindu.com/news/national/congress-demands-scraping-of-digital-attendance-system-for-mnrega-workers/article69821809.ece,2025-07-17T10:26:28,The Hindu,India,en
"Nimisha Priya execution Wont grant pardon, says family of Yemeni victim",Social media posts purportedly by Talals brother Abdul Fatah Mahdi indicated the familys resolute stance on retribution as per Islamic law rather than accepting blood money and pardon Nimisha Priya,https://www.thehindu.com/news/national/kerala/nimisha-priya-execution-wont-grant-pardon-says-family-of-yemeni-victim/article69821756.ece,2025-07-17T09:52:27,The Hindu,India,en
"Enforcement Directorate raids premises in U.P., Mumbai linked to Chhangur Baba amid religious conversion racket allegations","The federal probe agency recently filed a case to probe the activities and financial details of Jalaluddin alias Chhangur Baba, alleged to be a mastermind of an illegal religious conversion racket operating in Uttar Pradesh",https://www.thehindu.com/news/national/ed-raids-in-up-mumbai-in-religious-conversion-racket-case-against-chhangur-baba/article69821743.ece,2025-07-17T09:39:38,The Hindu,India,en
IIT Madras unveils new 8.5-kg wheelchair that enables independence,The institute says its latest innovation YD One is Indias lightest active rigid-frame wheelchair,https://www.thehindu.com/news/national/tamil-nadu/iit-madras-unveils-new-85-kg-wheelchair-that-enables-independence/article69819611.ece,2025-07-17T09:39:06,The Hindu,India,en
"Some cities in the northwestern, northern Indo-Gangetic Plain shielded from long-range aerosol pollution",Researchers refer to the cities that show relatively lower aerosol levels compared with the surrounding areas as Urban Aerosol Clean Islands,https://www.thehindu.com/sci-tech/science/some-cities-in-northwest-northern-indo-gangetic-plain-shielded-from-long-range-aerosol-pollution/article69821691.ece,2025-07-17T09:20:48,The Hindu,India,en
Nitish Kumar announces free electricity up to 125 units in poll-bound Bihar,Bihar CM said the government has also decided to install solar power plants on the rooftops or in the nearby public places of domestic consumers in the next three years,https://www.thehindu.com/elections/bihar-assembly/cm-nitish-kumar-announces-free-electricity-for-up-to-125-units-ahead-of-bihar-polls/article69821684.ece,2025-07-17T09:02:38,The Hindu,India,en
