title,description,url,published_date,source,country,language
"High alert in Keralas Kanhangad after LPG tanker overturns, holiday declared, traffic curbs in place",The tanker overturned into a roadside swamp while trying to give way to an oncoming bus on a narrow service road,https://www.thehindu.com/news/national/kerala/high-alert-in-keralas-kanhangad-after-lpg-tanker-overturns-holiday-declared-traffic-curbs-in-place/article69853306.ece,2025-07-25T07:49:56,The Hindu,India,en
"For Karnataka students, the grass is still greener overseas","Be it geopolitical tensions, new immigration laws, visa troubles or non-availability of jobs, many students who had gone abroad from Karnataka have returned in the last couple of years. While uncertainty loomed over many of their futures, some have managed to bring their studies and careers back on track after either flying to other countries to complete their education or deciding to find jobs in India, writes Jahnavi T.R.",https://www.thehindu.com/news/cities/bangalore/for-karnataka-students-the-grass-is-still-greener-overseas/article69846399.ece,2025-07-25T07:36:00,The Hindu,India,en
"Felt redemption of consciousness, say foreign pilgrims after Amarnath shrine darshan","The six foreigners who visited the cave shrine located at an altitude of around 14000 feet including pilgrims from the United States, Canada and Germany",https://www.thehindu.com/news/national/felt-redemption-of-consciousness-say-foreign-pilgrims-after-amarnath-shrine-darshan/article69851516.ece,2025-07-25T04:30:00,The Hindu,India,en
Trinamool Congress member killed in West Bengal,"A group of assailants attacked Sasthi Ghosh with sharp weapons on his way home, the police said",https://www.thehindu.com/news/national/west-bengal/trinamool-congress-member-killed-in-west-bengal/article69851313.ece,2025-07-25T04:13:02,The Hindu,India,en
IIT Guwahati team gives bamboo an automobile-ready touch,"Combined with biodegradable polymers, the fast-growing Bambusa tulda has potential applications in automobiles and packaging, researchers said",https://www.thehindu.com/sci-tech/iit-guwahati-team-gives-bamboo-an-automobile-ready-touch/article69849835.ece,2025-07-25T03:50:00,The Hindu,India,en
Global childhood vaccination slowed by pandemic study,The study published in The Lancet highlights the progress and challenges in vaccination efforts across the globe from 1980 to 2023,https://www.thehindu.com/sci-tech/health/global-childhood-vaccination-slowed-by-pandemic-study/article69851210.ece,2025-07-25T03:50:00,The Hindu,India,en
"A.P. Governor advocates cultivation of oilseeds, pulses to check malnutrition in country","Andhra Pradesh was a leading performer with a Compound Annual Growth Rate of 8.8 in agriculture and allied sectors in 2024-25 fiscal year, says Governor Abdul Nazeer",https://www.thehindu.com/news/national/andhra-pradesh/ap-governor-advocates-cultivation-of-oilseeds-pulses-to-check-malnutrition-in-country/article69851068.ece,2025-07-25T03:42:49,The Hindu,India,en
"TDP, BJP leaders submit memoranda to CEO on strengthening the electoral process","Among others, they suggest that death details be gathered from local bodies at regular interval and voter lists updated accordingly, zero door number system be avoided, and schools  colleges be made voter enrollment hubs",https://www.thehindu.com/news/national/andhra-pradesh/tdp-bjp-leaders-submit-memoranda-to-ceo-on-strengthening-the-electoral-process/article69851038.ece,2025-07-25T03:38:20,The Hindu,India,en
IMD issues heavy to very heavy rainfall warning for North Coastal Andhra Pradesh till July 27,"Low-pressure area forms over north Bay of Bengal, and it is likely to become well marked and move towards West Bengal and North Odisha, says IMD",https://www.thehindu.com/news/national/andhra-pradesh/imd-issues-heavy-to-very-heavy-rainfall-warning-for-north-coastal-andhra-pradesh-till-july-27/article69851305.ece,2025-07-25T03:37:07,The Hindu,India,en
IIT Guwahati students step up protest against fee hike,The institutes administration has defended the fee revision after seven years,https://www.thehindu.com/education/iit-guwahati-students-step-up-protest-against-fee-hike/article69851387.ece,2025-07-25T03:30:00,The Hindu,India,en
Rajasthan considering establishment of risk relief fund for farmers,The fund is to resolve the financial difficulties faced by them because of high premium charged by crop insurance companies,https://www.thehindu.com/news/national/rajasthan/rajasthan-considering-establishment-of-risk-relief-fund-for-farmers/article69851471.ece,2025-07-25T03:10:00,The Hindu,India,en
